Portrayal of hacker stimulates,Portrayal of victim encourages,Makes me worried,Encouragement for strong password,Emotional Connection,Personal Connection,Easy to follow,Novel,Attractive,Informative,Easy to understand,To the Point,Creative,Well Organized,Engaging,Real life motivation,design
1.0,2.0,-1.0,-1.0,-3.0,-3.0,-2.0,1.0,-2.0,0.0,-3.0,-3.0,2.0,-3.0,0.0,-2.0,Metaphor
-3.0,1.0,-3.0,0.0,-3.0,-3.0,3.0,-3.0,-3.0,1.0,2.0,1.0,0.0,2.0,-3.0,-3.0,Personal
1.0,1.0,2.0,2.0,-1.0,-2.0,3.0,-3.0,1.0,2.0,3.0,3.0,-2.0,3.0,0.0,2.0,Consequences
2.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,Consequences
0.0,0.0,-3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Logos
1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,Personal
3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,Professional
-3.0,1.0,-2.0,0.0,-3.0,-3.0,3.0,-2.0,0.0,-2.0,3.0,3.0,-2.0,2.0,1.0,0.0,Personal
3.0,3.0,1.0,3.0,-3.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Professional
3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Metaphor
0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,Logos
1.0,1.0,0.0,1.0,-2.0,-2.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-2.0,Consequences
1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Personal
3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,Metaphor
3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,Professional
3.0,3.0,-1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,Professional
1.0,2.0,1.0,2.0,-2.0,-2.0,1.0,2.0,1.0,-2.0,-2.0,-1.0,1.0,1.0,1.0,1.0,Metaphor
3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,Personal
2.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,Personal
2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,Metaphor
2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,Personal
1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,Professional
0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Logos
3.0,3.0,-2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,Personal
1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,Consequences
2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,Professional
0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Metaphor
0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,Logos
3.0,3.0,1.0,2.0,2.0,2.0,3.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Professional
2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,Metaphor
0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,Logos
-1.0,-1.0,1.0,-2.0,-3.0,-3.0,1.0,3.0,-1.0,-3.0,1.0,2.0,3.0,-2.0,0.0,-3.0,Metaphor
0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,Logos
0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,Logos
3.0,1.0,1.0,3.0,1.0,1.0,2.0,-1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,Consequences
1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,Metaphor
3.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Metaphor
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,-3.0,-3.0,-3.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,Consequences
0.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0,Logos
-1.0,-1.0,-1.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,Professional
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Personal
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Consequences
2.0,1.0,0.0,1.0,-1.0,2.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,2.0,2.0,1.0,Consequences
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,Consequences
2.0,2.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,Professional
0.0,0.0,2.0,3.0,-2.0,-2.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,Logos
0.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,-1.0,2.0,-1.0,2.0,Metaphor
2.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,Consequences
1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,Professional
0.0,0.0,-1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,Logos
1.0,2.0,-2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,Personal
1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Professional
0.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Logos
2.0,-1.0,1.0,-1.0,2.0,0.0,2.0,-1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,1.0,1.0,Personal
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,Professional
3.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Professional
2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,Consequences
1.0,1.0,2.0,2.0,1.0,1.0,2.0,-2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,Metaphor
0.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,Logos
3.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,Professional
3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Consequences
2.0,2.0,0.0,3.0,-3.0,-3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,Metaphor
0.0,-3.0,0.0,0.0,-2.0,-2.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,-2.0,Professional
0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,Metaphor
1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,Professional
3.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Professional
0.0,0.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,Logos
2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,Personal
-2.0,-2.0,0.0,1.0,-2.0,-2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,-2.0,Professional
3.0,3.0,-2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Consequences
0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Personal
3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,Personal
2.0,0.0,1.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,Consequences
0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,-1.0,3.0,Logos
2.0,2.0,-2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,Metaphor
2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,Metaphor
0.0,1.0,-3.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,Metaphor
3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,3.0,-2.0,3.0,3.0,2.0,3.0,Consequences
0.0,0.0,2.0,1.0,3.0,0.0,-2.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,Logos
0.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Logos
2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Personal
0.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,Logos
2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,Metaphor
2.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,Professional
-1.0,0.0,2.0,1.0,-1.0,1.0,0.0,2.0,-1.0,-1.0,2.0,0.0,1.0,-2.0,0.0,1.0,Consequences
0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,Consequences
0.0,0.0,-2.0,3.0,-2.0,0.0,3.0,0.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Logos
2.0,2.0,0.0,-1.0,2.0,2.0,1.0,-1.0,1.0,-1.0,0.0,1.0,2.0,2.0,0.0,1.0,Professional
0.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,Logos
1.0,1.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,Consequences
1.0,1.0,-1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Personal
2.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,Consequences
3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,Personal
0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Logos
1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,Professional
2.0,2.0,-3.0,2.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,Personal
2.0,1.0,2.0,1.0,2.0,2.0,-1.0,1.0,3.0,2.0,-1.0,2.0,-1.0,2.0,1.0,2.0,Consequences
2.0,2.0,-1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,Consequences
0.0,1.0,-3.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,Personal
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,-2.0,-2.0,-3.0,3.0,1.0,-2.0,0.0,0.0,-3.0,Consequences
-2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Personal
2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,Metaphor
3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,Professional
1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,Personal
2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Metaphor
1.0,3.0,3.0,2.0,-2.0,1.0,3.0,1.0,-1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,Consequences
3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Metaphor
2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,Personal
1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,Consequences
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,Logos
1.0,1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,2.0,2.0,-1.0,2.0,2.0,2.0,-1.0,Personal
0.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,Logos
0.0,1.0,-2.0,2.0,-2.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,Metaphor
1.0,2.0,1.0,3.0,2.0,3.0,1.0,-1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,Professional
2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,Personal
0.0,2.0,-2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,Metaphor
-1.0,-2.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-3.0,-2.0,Professional
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,Metaphor
-1.0,-1.0,-2.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,Consequences
1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,Personal
2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,Metaphor
2.0,1.0,-2.0,2.0,3.0,2.0,2.0,-1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Metaphor
0.0,0.0,0.0,1.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,Logos
3.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,Professional
0.0,0.0,-2.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,-1.0,2.0,1.0,3.0,Logos
3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,Personal
0.0,0.0,-3.0,0.0,-3.0,-3.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,Logos
2.0,2.0,-3.0,-3.0,-2.0,-3.0,-3.0,0.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-2.0,3.0,Consequences
1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,Professional
0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Logos
0.0,0.0,-2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,Logos
