9-1,11-1,design
"['Social Media', 'Email', 'Financial Websites']","I like the idea. I like the example phrase ""I was awarded a prize..."" I like how the first letters of each word are in green. I would need to think of a phrase that I could use. ",infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","This is entertaining and relatable! It is an important subject matter presented in a creative, easily understandable way!",conversation
"['Social Media', 'Gaming Websites']",I think the design looks nice and it was well presented,reflection
['Social Media'],"I think the strategy if easy to follow but I think it might be hard to know where the special characters go, and there are literally dozens of websites I visit which require a password. No way to just remember all those, no matter what strategy is followed.",reflection
['None of the above'],I thought about if I would personally use this strategy to create a password or not,conversation
"['Email', 'Government Websites']",For me it is way too many steps as I already know how to generate an extremely strong password. Plus I use password software which keeps track of the passwords for me. Most people will not want to read all that.,onlinechat
['Financial Websites'],"I like it, it is simple like texting with a friend",onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",It is nice.  Simple to read and understand.  Step by step helps.  Good job overall!,conversation
"['Social Media', 'Email', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",I like it. It gave me a way to come up with a new password that I had never considered before.,conversation
"['E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","Its good, useful and a good way to end up making up a password.",reflection
"['Social Media', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",I think that it is clean and concise and understandable.,conversation
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites']",with the help of the expert i gather raw details for the this,infographics
"['Social Media', 'Email', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","I think that it is interesting and would help people create stronger passwords which would be good for security overall. Personally for me, I usually create passwords which would be just as strong or stronger than if using this advice but I like the way in which it helps you come up with a password.",reflection
"['Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is good and very strong to create online account passwords,onlinechat
"['Social Media', 'Email', 'E-commerce Websites', 'Government Websites']",good,conversation
"['Email', 'Financial Websites', 'E-commerce Websites']",This design is very nice and useful message are there.,onlinechat
"['Social Media', 'Email']",easy,conversation
"['Social Media', 'Email', 'Financial Websites']",it will identify areas for improvement and allow you to prepare professionally for the next presentation.,onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",The presentation was useful and very helpful.,onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites']",very nice presentation of this design,reflection
['None of the above'],I think that the presentation of this design is good.,reflection
['Social Media'],The presentation of the design is very attractive ,conversation
"['Social Media', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","It is simple, understandable.   Probably some mention should be made that this method should be done differently for each account not reused.  Perhaps some mention about how to better memorize once you start adding special characters and numbers.",reflection
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.', 'think all would be nice']","I like it because really clear, easy to understand and one of my worries on creating a really strong password is remembering it but this makes the steps clear so think I could remember it. ",infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites']",i evalute the presentation of this design is very good and easily to work with the  desinging the process to make the password strong and learning easily,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",The presentation is very good and it is very easy to understand the main content,reflection
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites']",I think it looks great,infographics
"['Social Media', 'Email', 'Financial Websites', 'Testing sites']","This was very interesting and something that I never thought of.  I wish I could access this somehow, so that if I was creating a new login or opening a new account I could use this so that I could create a password.  This is a very good idea.",reflection
"['Social Media', 'Email', 'Financial Websites']",It is novel and creative way of learning how to create a strong password.,conversation
"['Social Media', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",Overall the presentation is attractive and helpful. However I doubt how much it will encourage users to use the strategy mentioned in it. ,reflection
"['Social Media', 'Gaming Websites']",The design was really good looking. Easily to understand. Very useful.,onlinechat
"['Social Media', 'Financial Websites', 'Government Websites']",good,reflection
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",I think it's a great idea and a nice design.  My only issue with it is that when i'm creating a new account (which is usually somewhat annoying to begin with) i'm not sure that i would like being funneled thru such a long cartoon scenerio to direct me on something that i already know i need to do.  i think the length should be cut in half at least.  it's more drawn out and simplistic than necessary i think.,conversation
"['Social Media', 'Email', 'Gaming Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","I think it is a great presentation, and easy to understand. I use the google recommended password, so it's not for me, but I'm sure that some people will find it helpful. ",infographics
"['Financial Websites', 'Government Websites']",The design is eay to evaluate and give ideas to create strong passswords,conversation
"['Social Media', 'Email', 'Gaming Websites', 'E-commerce Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","A good presentation but a bad example. A memory known only to you isn't a strong selector. What you should have said is make up some small phrase about yourself or your password. Like ""this is my internet password."" Now take the first letters of that phrase and use that as password. TIMIP. Add some numbers to it. ",onlinechat
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites']",The presentation was very useful for a perfectly create a password. Memory the strong password and create a strong structured of password.,infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites']",By accurate and relevant technique which is required,infographics
"['Social Media', 'Email', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",the presentation design will be very nice ,infographics
"['Email', 'E-commerce Websites', 'Government Websites']",The format of the password engine was good.,reflection
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",Clarity and coherence of the content.,reflection
"['Social Media', 'E-commerce Websites']",I feel like it's very straight forward and remains objective throughout it's time line.,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","I like the steps that were involved to create this password. The expert described the steps very carefully and in an informative way. If I saw this suggestion on a site I use, I would use it to make a new password. I feel like it would help me create a strong password. The design is great also.",onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",The design takes the creation step by step so it is easy to understand. It makes me feel dumb for not thinking of this before and using it.The only thing I would worry about is where I put the special symbols/numbers and which ones I used. I would need to come up with a way of remembering that. ,reflection
"['Social Media', 'Financial Websites', 'E-commerce Websites']",The design is interesting for people who have trouble making passwords. It allows for easier reading than just a bunch of text.,onlinechat
"['Social Media', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",I think it's very classy and professional. ,conversation
"['Social Media', 'Gaming Websites', 'E-commerce Websites']",social media design,onlinechat
"['Social Media', 'Financial Websites']",This is very useful for all.,reflection
['Social Media'],skilles develpoing,reflection
"['Email', 'Financial Websites', 'E-commerce Websites']",it is structured and clear.,infographics
"['Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","I like the design. I don't think it makes remembering the password feasable, however. How to remember the numbers and special characters? ",infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","The dialogue format is nice, but many might think it will be too long, and not try to read through it.  I wish it had a colour scheme that was easier on the eyes. like a light colored font on a darker background.  

I also don't like how capitals and special characters are thrown in as an after thought. They are often required and this does not tell us how to remember where they are!",onlinechat
"['Financial Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","I really like how it is laid out on a whiteboard type of thing with easy to follow and labeled steps. I also like that an example is given to make understanding it much easier. I think its colorful, appealing and attention grabbing.",infographics
['Social Media'],That was very clear and understandable. It used to make a strong password,reflection
"['Social Media', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",It seems like a good way to explain password creation strategies in a way that isn't complicated or intimidating to the average user.,conversation
['Social Media'],It really easy to understand and explain it in very simple way,conversation
['Social Media'],IT IS VERY HELPFUL TO MAKE A STRONG AND SECURE PASSWORD. THE PRESENTATION IS VERY IMPRESSIVE.,conversation
['Social Media'],"Private memory, thought of it, first letters, numbers and symbols, strong and memorable password.",reflection
['None of the above'],It was interesting and informative but I wouldnt use,infographics
"['Social Media', 'Email', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",I think the presentation of this design is very simplistic yet concise and to the point. I think this is a very effective presentation.,infographics
"['Social Media', 'Email', 'Gaming Websites', 'E-commerce Websites', 'Government Websites']",its of my own provided one,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites']",It's easy to follow and I like that it's portrayed in chronological order of the steps to create a strong password.,infographics
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",It is interesting and gets you involved. But it does make the text small and hard to see (I am doing this HIT on a 13 inch Macbook). I liked the method because it would make passwords much easier to remember.,reflection
"['Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is hard and useful to create some passwords in online,infographics
"['Email', 'Financial Websites', 'Government Websites']",The design is simple and easy to follow.,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites']",The presentation is very useful for me. Which i used for password for digital works it will help full of my thoughts.,reflection
"['Social Media', 'Email']",It is straight forward and to the point.  I like it.  ,reflection
"['Social Media', 'E-commerce Websites']","The presentation of the design is very basic.
It's simple too.",onlinechat
"['Social Media', 'Email', 'Financial Websites']","Add numbers, special characters, capitalization, styles",onlinechat
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",to based upon design and password hint.,reflection
"['Financial Websites', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","Helpful, creative.",infographics
"['Social Media', 'Email', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","I mean this is pretty great, if quite a bit too long for something meant to be widely implemented across various websites -- as it is, it would be neat to see once, and very quickly become tedious to click through when seen on multiple websites. It is on the cartoonish and plain side of things when it comes to the art, so it wouldn't work everywhere. All that said, it is pretty good and effective.",conversation
['None of the above'],"It requires one to memorize a complex password or write it down, so it is useless. I also dislike the androgynous ""expert.""",infographics
"['Email', 'Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is clear and easy to follow.  It's not complicated.  I am able to slowly follow it's steps of how it works and what to do.  One step at a time which makes it more simpler.  The design is pretty and pleasing to the eye.  I liked the thinking bubbles.  ,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'Government Websites']",I think it is simple yet very informative. It is not overly complicated so that even someone inexperienced should understand the message. I like the way it is presented and I would not change anything about it.,reflection
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","It looks like a text message exchange between 2 people, but the message is clear and it's definitely unique.",onlinechat
['Financial Websites'],"It makes me think about coming up with a password in a new way I haven't thought of before. 

Everything is set up as informative and easy to follow and understand.",infographics
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites']",IN THIS PRESENTATION HAVE BEEN VERY USEFUL TO UNDERSTAND AND KNOWLEDGABLE.,conversation
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites']",I think the design is unique and extremely helpful.,infographics
"['Social Media', 'Gaming Websites', 'Government Websites']",very nice presentation of this design,conversation
"['Social Media', 'Financial Websites', 'Gaming Websites', 'Government Websites']",It's very creative and easy to understand with simple conversational language and the pictorial design.,conversation
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites']","Organized, clear and a good idea message not thought of before seeing it.",conversation
"['Social Media', 'Gaming Websites', 'E-commerce Websites']",social media presentation,onlinechat
"['Social Media', 'Email']",With the help of cyber security expert by the give steps thus i was evaluated,infographics
"['Social Media', 'Email', 'Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",I liked the way it was informal and casual. It was clear and understandable.,reflection
"['Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is easy to evaluate and create ideas for strong passwords,infographics
"['Social Media', 'Email', 'E-commerce Websites', 'Government Websites']",The presentation is more excellent and easy to understand,onlinechat
"['Social Media', 'Email', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","I think it is straight forward and presents a manner of creating a stronger password than many people would attempt. It is a good idea to relate it to a life event. I think I create strong passwords but I have to write them down. This method might actually allow me to create something strong that I can actually retain. I answered the above question as a 4 because I already create pretty robust passwords. I don't think I'll create stronger with this method, but I certainly create something I don't have to write down. ",infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.', 'n/a']","novel, engaging",conversation
"['Social Media', 'Financial Websites', 'Gaming Websites']","Very well done, it makes it appealing to read it.",conversation
"['Social Media', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']", I create a password for an online account,onlinechat
"['E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",The presentation is clear and easily understandable. The information is defined and well presented. ,infographics
"['Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is easy to evaluate and create some strong passwords,infographics
"['Social Media', 'Email', 'Financial Websites']",the presentation will very nice and  very good design,conversation
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites']",The desgin look very creativity and very easy to message others with full speed of method so i like it very much ,onlinechat
"['Social Media', 'Email', 'E-commerce Websites']",It was simple and clean.,onlinechat
"['Financial Websites', 'Gaming Websites', 'E-commerce Websites']",The presentation was to clear and more advanced theory its have good contents and structure.,onlinechat
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","The presentation is clear and clean, it's nicely organized. ",infographics
"['Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","It's in a simple comic format that nothing really changes from each panel aside for text, basic stylized design.",conversation
"['Social Media', 'Email', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",Clarity and coherence of the content.,reflection
['Social Media'],Seems simple and affective. I wish the numbers and special characters came up with a similarly memorable example.,infographics
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","I'm pretty certain that it will help me create a strong password, but not a memorable one since it uses just the first letters. If I was reminded to think of a certain memory when logging in, then I would remember it easily.",reflection
"['Social Media', 'Email', 'Government Websites']",It is very useful in guiding about the password setting.,conversation
"['Social Media', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","The presentation is clear and concise. Straight forward and to the point. With that said, I think it's a horrible idea and will create passwords that people will not remember.",conversation
